ID,Region,Substation,Feeder ID,Phase,Distance,Any Violation,Worst Deviation,Created Date
6186,P1R,p1rhs0_1247,p1rdm10946,AB,6.668002887999999,True,0.8837,2026-01-27 10:35:27.755966+00:00
119020,P1R,p1rhs0_1247,p1rdm10946,AB,6.668002887999999,True,0.8837,2026-01-28 11:40:11.682633+00:00
